iter	Passed	Remaining
589	4253	2956
590	4255	2945
591	4257	2933
592	4258	2922
593	4261	2912
594	4262	2901
595	4264	2890
596	4265	2879
597	4267	2868
598	4268	2857
599	4270	2847
600	4272	2836
601	4273	2825
602	4275	2814
603	4276	2803
604	4278	2793
605	4279	2782
606	4281	2771
607	4283	2761
608	4285	2751
609	4286	2740
610	4288	2730
611	4290	2719
612	4291	2709
613	4293	2699
614	4294	2688
615	4296	2678
616	4298	2667
617	4299	2657
618	4301	2647
619	4302	2637
620	4305	2627
621	4307	2617
622	4308	2607
623	4310	2597
624	4311	2587
625	4313	2576
626	4314	2566
627	4316	2556
628	4317	2546
629	4319	2536
630	4321	2526
631	4322	2516
632	4324	2507
633	4325	2497
634	4328	2488
635	4330	2478
636	4331	2468
637	4333	2458
638	4335	2449
639	4337	2439
640	4339	2430
641	4341	2421
642	4343	2411
643	4345	2402
644	4347	2392
645	4350	2383
646	4351	2374
647	4353	2364
648	4354	2355
649	4356	2345
650	4358	2336
651	4360	2327
652	4361	2317
653	4363	2308
654	4364	2299
655	4366	2289
656	4368	2280
657	4369	2271
658	4372	2262
659	4373	2253
660	4375	2244
661	4377	2234
662	4378	2225
663	4380	2216
664	4382	2207
665	4383	2198
666	4385	2189
667	4386	2180
668	4388	2171
669	4390	2162
670	4391	2153
671	4395	2145
672	4396	2136
673	4398	2127
674	4400	2118
675	4401	2109
676	4403	2100
677	4405	2092
678	4407	2083
679	4409	2074
680	4410	2066
681	4412	2057
682	4414	2048
683	4417	2040
684	4418	2032
685	4420	2023
686	4421	2014
687	4423	2006
688	4425	1997
689	4426	1988
690	4428	1980
691	4429	1971
692	4431	1963
693	4432	1954
694	4434	1946
695	4435	1937
696	4437	1929
697	4440	1921
698	4441	1912
699	4443	1904
700	4444	1895
701	4446	1887
702	4447	1879
703	4450	1871
704	4452	1863
705	4455	1855
706	4457	1847
707	4460	1839
708	4464	1832
709	4468	1824
710	4470	1817
711	4475	1810
712	4479	1802
713	4482	1795
714	4487	1788
715	4489	1780
716	4491	1772
717	4493	1764
718	4494	1756
719	4496	1748
720	4498	1740
721	4499	1732
722	4501	1724
723	4503	1716
724	4504	1708
725	4506	1700
726	4508	1692
727	4510	1685
728	4511	1677
729	4513	1669
730	4515	1661
731	4517	1653
732	4518	1645
733	4520	1638
734	4522	1630
735	4523	1622
736	4525	1614
737	4527	1607
738	4529	1599
739	4530	1591
740	4532	1584
741	4534	1576
